Frame,A,B,C,D,E,F,G,H,I,J,K,L
255,148.69,164.824,121.257,120.098,90,90,91.7264,94.5474,150.561,150.225,118.707,118.487,
256,148.849,164.896,121.257,120.067,90,90,91.5999,94.5926,150.545,150.234,118.673,118.446,
257,149.238,165.42,121.336,120.124,90,90,91.5682,94.4771,149.89,149.936,118.574,118.191,
258,149.238,165.42,121.336,120.124,90,90,91.5682,94.4771,149.89,149.936,118.574,118.191,
259,149.333,165.517,121.202,120.111,90,90,91.5141,94.4776,149.923,149.923,118.561,118.192,
260,149.971,165.408,121.117,120.108,90,90,91.5238,94.4458,149.975,149.879,118.548,118.169,
261,150.049,165.39,121.088,120.098,90,90,91.5681,94.4369,149.95,149.866,118.556,118.176,
262,150.057,165.388,121.098,120.098,90,90,91.5723,94.4343,149.95,149.866,118.556,118.176,
263,150.088,165.204,121.21,120.11,90,90,91.7875,94.3952,149.954,149.864,118.553,118.19,
264,150.035,165.354,120.634,120.058,90,90,92.365,94.243,150.295,149.95,118.555,118.328,
265,150.094,165.374,120.662,120.086,90,90,92.5366,94.1602,150.4,149.957,118.558,118.411,
266,150.126,165.285,120.663,120.093,90,90,92.5477,94.1446,150.408,149.961,118.561,118.416,
267,150.192,165.336,120.757,120.099,90,90,92.5781,94.1169,150.448,149.945,118.577,118.437,
268,150.128,165.284,120.791,120.141,90,90,92.5508,94.1294,150.471,149.933,118.614,118.454,
269,149.941,165.375,121.167,120.104,90,90,92.5347,94.0505,150.524,149.911,118.686,118.444,
270,149.358,165.517,120.981,120.043,90,90,92.3244,94.2042,150.664,149.999,118.767,118.513,
271,149.712,165.498,120.995,119.757,90,90,92.4549,94.1586,151.272,150.82,119.141,118.895,
272,149.777,165.526,121.122,119.752,90,90,92.5192,94.2959,151.709,151.253,119.303,118.971,
273,149.784,165.571,121.125,119.75,90,90,92.5208,94.2969,151.713,151.256,119.303,118.97,
274,149.784,165.572,121.125,119.75,90,90,92.5208,94.2969,151.713,151.257,119.303,118.97,
275,149.784,165.572,121.125,119.75,90,90,92.5208,94.2969,151.713,151.257,119.303,118.97,
276,149.897,166.358,120.487,119.361,90,90,92.5066,94.7705,152.003,151.63,119.328,119.045,
277,149.941,166.327,120.349,119.352,90,90,92.5648,94.763,151.982,151.662,119.304,119.05,
278,149.548,166.249,120.754,119.217,90,90,92.5034,94.9649,151.882,151.637,119.296,118.935,
279,149.842,166.249,120.519,119.178,90,90,91.862,94.9667,150.558,151.537,119.427,118.748,
280,149.33,166.434,120.458,119.19,90,90,92.2823,93.9469,151.524,151.947,119.439,118.882,
281,149.697,167.073,120.452,119.458,90,90,91.791,94.0936,151.757,151.984,119.449,118.991,
282,149.38,168.054,121.172,119.746,90,90,92.2257,95.0553,151.828,152.168,119.715,119.42,
